Mutant	Formula	Neg_R1	Neg_R2	Neg_R3	Pos_R1	Pos_R2	Pos_R3
F34365	C6H13O9P	176.0901754	205.1451412	184.009663			
F34365	C6H14N2O2				9.610136495	16.09233156	13.2798452
F34365	C5H4N4O				4.010889989	5.346870618	4.211797478
F34365	C4H7NO2				410.4504434	443.578362	443.389393
F34365	C8H11NO				3.699128297	3.913040136	3.252396021
F34365	C4H9NO2				28.1520097	30.07769691	27.97039667
F34365	C8H13NO5				1.092669287	1.09676575	0.687416321
F34365	C9H11NO2				114.1159082	119.2252589	115.8185381
F34365	C6H11NO3				33.15436662	45.43305224	46.03793341
F34365	C5H8N2O2						
F34365	C6H10O5	16.15823685	18.14346882	17.57226585			
F34365	C5H10N2O3	5.268872142	4.92536323	5.206001783			
F34365	C9H10O4	0.825137211	0.297199437	0.821115378			
F34365	C3H4O2	1.146660875	0.673245993	1.393001101			
F34365	C6H13NO2				161.9168623	181.9806689	263.325701
F34365	C5H9NO5				17.96123004	17.5779129	18.07265201
F34365	C5H10O4	12.1416212	11.31369151	12.14280885			
F34365	C7H10O4	2.986987343	3.135419423	3.365289615			
F34365	C10H13N5O4				17.65798423	11.83985887	14.70985316
F34365	C11H12N2O2				7.982357848	7.79655968	4.354058977
F34365	C5H9NO2				27.58360574	16.49357429	24.48270368
F34365	C3H7NO3				974.1983433	1127.09832	1070.982181
F34365	C6H6O6	5.039766191	6.111822687	6.064239768			
F34365	C6H12O4	2.350071226	2.600261969	3.130307381			
F34365	C9H15N4O8P				14.45640877	11.51186367	14.46208795
F34365	C5H8O4	2.047057493	2.477903675	2.459243471			
F34365	C4H6O3	5.35338027	5.43308872	6.098377308			
F34365	C9H11NO3				31.77919272	39.72146478	30.63304431
F34365	C3H6O4	198.1343934	152.4106787	165.0426697			
F34365	C5H9NO4	589.785438	612.3633962	598.770696			
F34365	C9H16N2O5				24.82542976	18.13359698	18.85789441
F34365	C6H11NO4				15.09631438	14.68037008	15.39904076
F34365	C5H7NO3				23.69254284	22.25309604	22.75540495
F34365	C15H22N6O5S				4.93764146	4.244284403	6.124075586
F34365	C4H4O4	2.091164108	1.812454299	2.030493683			
F34365	C5H11O7P	1.65817806	2.35841493	1.924676073			
F34365	C6H9N3O2				6.406926449	5.871729723	7.268389914
F34365	C8H11NO3				7.014572946	2.7557375	2.740425054
F34365	C8H14N2O5S				5.063232493	2.354392677	5.182172612
F34365	C3H6O3	5.530954894	3.087519109	6.583855378			
F34365	C2H5NO2				110.2193689	44.99552216	63.96456947
F34365	C6H11NO3S				63.05231461	85.46056037	33.2178442
F34365	C3H4O3	4.277610599	2.654928005	4.371659913			
F34365	C20H31N3O19P2	2.11494276	2.892014721	0.708234958			
F34365	C7H11NO5				53.35763327	67.56951577	70.6318954
F34365	C11H19NO8				2.250386666	1.989027312	1.103300249
F34365	C5H8O5	8.877994357	9.374408888	10.18603509			
F34365	C6H12O6	3.397748593	2.635133075	3.448523902			
F34365	C5H11NO2				246.7231054	234.0499924	249.6162056
F34365	C11H18N2O7				7.396623372	12.22111311	9.166308844
